id;nisha;domain;opisanie;tip_klienta;sredniy_chek_ocenka_rub;chastota_pokupki;sezonnost;predvaritelnyy_potencial;pochemu_interesna;glavnye_riski;test_bez_zakupki;predvaritelnyy_red_flag
N001;Торговое оборудование (витрины, стеллажи, прилавки);TRADE_EQUIP;Оснащение магазинов, отделов, островков;B2B;30000-150000;раз в 2-5 лет;низкая;высокий;Габарит неудобен МП, нужна подборка под помещение, есть б/у-оборот;Длинный цикл, монтаж, конкуренция производителей;да - каталог поставщика;-
N002;Холодильное оборудование для магазинов и HoReCa;TRADE_EQUIP;Витрины, лари, шкафы, камеры;B2B;40000-250000;раз в 3-7 лет;лето+;высокий;Габарит, консультация по мощности, вынужденная замена при поломке;Гарантия и сервис, вес, монтаж;частично;RF-3 гарантия
N003;Оборудование для кофеен (проф. кофемашины, кофемолки);B2B_EQUIP;Оснащение точек кофе;B2B;60000-400000;раз в 3-5 лет;низкая;средний;Высокий чек, консультация, б/у-рынок;Гарантия, сервис, сильные дилеры;частично;RF-3, RF-9
N004;Оборудование для пекарен (печи, расстойки, тестомесы);B2B_EQUIP;Мини-пекарни и цеха;B2B;80000-500000;раз в 5-7 лет;низкая;средний;Очень высокий чек, консультация по производительности;Габарит, монтаж, электричество, длинный цикл;частично;-
N005;Оборудование для бьюти (кресла, вытяжки, лампы, мойки);B2B_EQUIP;Барбершопы, маникюр, салоны;B2B;15000-80000;раз в 2-4 года;низкая;высокий;Массовый малый бизнес, частые открытия, габарит;Много китайского импорта на МП, ценовая конкуренция;да;-
N006;Оборудование для автосервиса (подъемники, стенды);B2B_EQUIP;Оснащение СТО;B2B;80000-500000;раз в 5-10 лет;низкая;высокий;Крупногабарит - МП не работает, высокий чек, консультация;Монтаж, доставка, длинный цикл;да - под заказ;-
N007;Оборудование для шиномонтажа;B2B_EQUIP;Станки, балансировка, вулканизация;B2B;60000-300000;раз в 5-8 лет;осень/весна;высокий;Габарит, сезонный триггер открытия точек;Сезонное окно, монтаж;да;YF-2
N008;Оборудование для моек самообслуживания;B2B_EQUIP;Аппараты, комплектующие, химия;B2B;50000-800000;раз в 5 лет + расходники;низкая;средний;Расходники дают повтор, высокий чек;Очень длинный цикл, проектная продажа;частично;-
N009;Прачечное оборудование (промышленные стиралки, сушки);B2B_EQUIP;Прачечные, отели, клиники;B2B;100000-600000;раз в 7 лет;низкая;средний;Высокий чек, габарит, B2B-счета;Длинный цикл, монтаж, тендеры;частично;-
N010;Оборудование для пищевого производства (тестомесы, куттеры);B2B_EQUIP;Малые цеха и производства;B2B;60000-400000;раз в 5-7 лет;низкая;средний;Габарит, консультация;Санитарные требования, сертификация;частично;RF-2
N011;Швейное оборудование промышленное;B2B_EQUIP;Ателье, цеха, производства;B2B;30000-200000;раз в 5-10 лет;низкая;высокий;Рост локального пошива, консультация по типу строчки;Наладка, сервис, сильные дилеры;да;-
N012;Деревообрабатывающие станки;B2B_EQUIP;Столярные мастерские, ИЖС;B2B/B2C;40000-400000;раз в 5-10 лет;низкая;высокий;Габарит, консультация, рост мастерских;Вес, доставка, наладка;да - под заказ;-
N013;Металлообрабатывающие станки и ЧПУ;B2B_EQUIP;Мастерские, малые производства;B2B;100000-1500000;раз в 7-10 лет;низкая;средний;Очень высокий чек, консультация;Длинный цикл, вес, пусконаладка, капитал;частично;-
N014;Сварочное оборудование профессиональное;B2B_EQUIP;Сварщики, монтажники, цеха;B2B/B2C;20000-150000;раз в 3-5 лет;низкая;высокий;Подбор под задачу, повтор через расходники;Много на МП в бытовом сегменте;да;YF-1
N015;Компрессоры и пневмооборудование;B2B_EQUIP;СТО, мастерские, производства;B2B;25000-200000;раз в 5-7 лет;низкая;высокий;Габарит, подбор по производительности, расходники;Вес, гарантия;да;-
N016;Генераторы и электростанции;ENERGY;Резервное питание для дома, дачи, объекта;B2C/B2B;30000-300000;раз в 5-10 лет;осень/зима, аварии;высокий;Вынужденный спрос при отключениях, подбор по мощности, габарит;Всплесковая сезонность, гарантия;да;RF-3
N017;Стабилизаторы напряжения и ИБП для дома и дачи;ENERGY;Защита техники в частном секторе;B2C;12000-60000;раз в 5-10 лет;лето/осень;высокий;Вынужденный спрос, подбор по нагрузке, консультация;Есть на МП, средний чек невысок;да;-
N018;Сварочные расходники (электроды, проволока, газ);PRODUCTION;Расходка для сварочных работ;B2B;3000-25000;ежемесячно;низкая;средний;Высокая повторяемость, B2B-счета;Низкий чек, вес, ценовая конкуренция;да;RF-10 частично
N019;Абразивы и расходка для металлообработки;PRODUCTION;Круги, диски, фрезы, СОЖ;B2B;3000-30000;ежемесячно;низкая;средний;Повтор, B2B, подбор по материалу;Низкий чек, склад, конкуренция дистрибьюторов;да;-
N020;Промышленный крепеж и метизы;PRODUCTION;Анкеры, шпильки, нестандарт;B2B;5000-50000;регулярно;низкая;средний;Повтор, подбор, нестандарт под чертеж;Низкая маржа, вес, склад;частично;RF-10
N021;Насосное оборудование и гидроаккумуляторы;ENGINEERING;Водоснабжение частного дома;B2C/B2B;15000-80000;раз в 5-8 лет;весна-лето, аварии;очень высокий;Вынужденный спрос при поломке, подбор по параметрам, есть расходники;Гарантия, сезонность;да;-
N022;Системы водоочистки и фильтрации для дома;ENGINEERING;Умягчение, обезжелезивание, осмос;B2C;25000-150000;раз в 5-10 лет + картриджи;круглый год;очень высокий;Нужен подбор по анализу воды, картриджи дают повтор, МП не умеет в подбор;Требуется экспертиза, монтаж;да;-
N023;Скважинное оборудование (насосы, оголовки, кессоны);ENGINEERING;Обустройство скважин;B2C/B2B;20000-120000;раз в 5-10 лет;весна-осень;очень высокий;Комплект под глубину скважины, консультация, габарит;Сезонность, монтаж;да;YF-2
N024;Септики и станции биоочистки;ENGINEERING;Автономная канализация ИЖС;B2C;40000-200000;раз в 10-15 лет;весна-осень;высокий;Габарит - МП не работает, высокий чек, подбор по числу жильцов;Монтаж, сезонность, сильные дилеры;да - под заказ;YF-2, YF-3
N025;Отопительные котлы и радиаторы;ENGINEERING;Отопление частного дома;B2C;25000-200000;раз в 10-15 лет;осень;высокий;Вынужденный спрос при поломке в сезон, подбор;Газовое оборудование - допуски, гарантия;частично;RF-2, RF-3
N026;Теплый пол и терморегуляторы;ENGINEERING;Электрический и водяной теплый пол;B2C;10000-60000;раз в 10 лет;осень-зима;средний;Подбор по площади, комплект;Есть на МП, монтаж;да;-
N027;Дымоходы и сэндвич-трубы;ENGINEERING;Комплекты дымоходов для печей и котлов;B2C;15000-80000;раз в 7-15 лет;лето-осень;высокий;Комплект под конфигурацию - МП не умеет, габарит;Сезонность, пожарные требования;да;YF-2
N028;Печи и камины для дачи и дома;ENGINEERING;Отопительно-варочные, банные;B2C;20000-120000;лето-осень;выраженная;высокий;Габарит, вынужденный сезонный спрос, консультация;Вес, сезонное окно;да;YF-2
N029;Банное оборудование (печи, каменки, купели);ENGINEERING;Оснащение бань;B2C;25000-200000;раз в 10 лет;весна-осень;высокий;Габарит, эмоциональная покупка с высоким чеком;Сезонность, вес;да;YF-2
N030;Вентиляция и рекуператоры;ENGINEERING;Приточка, вытяжка для дома;B2C/B2B;20000-150000;раз в 10 лет;круглый год;высокий;Подбор по объему помещений, МП не умеет;Монтаж, расчет;да;YF-3
N031;Кондиционеры и сплит-системы;ENGINEERING;Климат для квартир и офисов;B2C;25000-80000;раз в 7-10 лет;май-август;средний;Высокий сезонный спрос;Жесткое сезонное окно, монтаж обязателен, демпинг;частично;YF-2, YF-3
N032;Тепловые насосы;ENGINEERING;Альтернативное отопление;B2C;150000-600000;раз в 15 лет;весна-лето;низкий;Очень высокий чек;Узкий спрос, длинный цикл, экспертиза, монтаж;нет;-
