id;nisha;domain;tip_klienta;sredniy_chek_ocenka_rub;sezonnost;test_bez_zakupki;prichina_prohozhdeniya_filtra
N001;Торговое оборудование (витрины, стеллажи, прилавки);TRADE_EQUIP;B2B;30000-150000;низкая;да - каталог поставщика;"Габарит + подбор под помещение; поставщики отгружают под конкретный заказ"
N002;Холодильное оборудование для магазинов и HoReCa;TRADE_EQUIP;B2B;40000-250000;лето+;частично;"Вынужденная замена при поломке; крупногабарит МП не тянет"
N004;Оборудование для пекарен (печи, расстойки, тестомесы);B2B_EQUIP;B2B;80000-500000;низкая;частично;Очень высокий чек, консультация по производительности
N006;Оборудование для автосервиса (подъемники, стенды);B2B_EQUIP;B2B;80000-500000;низкая;да - под заказ;"Крупногабарит — МП структурно не работает; высокий чек"
N007;Оборудование для шиномонтажа;B2B_EQUIP;B2B;60000-300000;осень/весна;да;Габарит + сезонный триггер открытия точек
N011;Швейное оборудование промышленное;B2B_EQUIP;B2B;30000-200000;низкая;да;Подбор по типу строчки, рост локального пошива
N012;Деревообрабатывающие станки;B2B_EQUIP;B2B/B2C;40000-400000;низкая;да - под заказ;Габарит + консультация, рост частных мастерских
N014;Сварочное оборудование профессиональное;B2B_EQUIP;B2B/B2C;20000-150000;низкая;да;Профессиональный сегмент менее уязвим к МП, чем бытовой
N015;Компрессоры и пневмооборудование;B2B_EQUIP;B2B;25000-200000;низкая;да;Подбор по производительности, расходники дают повтор
N016;Генераторы и электростанции;ENERGY;B2C/B2B;30000-300000;осень/зима, аварии;да;Аварийный спрос — решение в день обращения
N017;Стабилизаторы напряжения и ИБП для дома и дачи;ENERGY;B2C;12000-60000;лето/осень;да;Вынужденный спрос при скачках напряжения, подбор по нагрузке
N021;Насосное оборудование и гидроаккумуляторы;ENGINEERING;B2C/B2B;15000-80000;весна-лето, аварии;да;Поломка насоса не откладывается — сильнейший вынужденный спрос
N022;Системы водоочистки и фильтрации для дома;ENGINEERING;B2C;25000-150000;круглый год;да;"Подбор по анализу воды МП не умеет; картриджи = регулярный повтор"
N023;Скважинное оборудование (насосы, оголовки, кессоны);ENGINEERING;B2C/B2B;20000-120000;весна-осень;да;Комплект под глубину скважины — консультационная продажа
N024;Септики и станции биоочистки;ENGINEERING;B2C;40000-200000;весна-осень;да - под заказ;Габарит + высокий чек + отгрузка поставщиком напрямую
N027;Дымоходы и сэндвич-трубы;ENGINEERING;B2C;15000-80000;лето-осень;да;Комплект под конфигурацию дымохода, карточка МП не справляется
N028;Печи и камины для дачи и дома;ENGINEERING;B2C;20000-120000;выраженная;да;Габарит, сезонный вынужденный спрос перед отопительным сезоном
N029;Банное оборудование (печи, каменки, купели);ENGINEERING;B2C;25000-200000;весна-осень;да;Высокий чек, габарит, эмоционально сильная категория
N030;Вентиляция и рекуператоры;ENGINEERING;B2C/B2B;20000-150000;круглый год;да;Расчёт по объёму помещений — МП не умеет
N036;Заборы и ограждения (профлист, 3D-сетка, штакетник);CONSTRUCTION;B2C;30000-150000;весна-осень;да - под заказ;Расчёт под периметр, габарит, работа под заказ
N037;Ворота и автоматика для ворот;CONSTRUCTION;B2C;40000-200000;весна-осень;да - под заказ;Комплект ворота + автоматика, высокий чек
N038;Металлоконструкции под заказ (навесы, каркасы);CONSTRUCTION;B2C/B2B;50000-300000;весна-осень;да - идеально;Закупки нет вообще: производство под заказ по размерам
N039;Лестницы металлические и деревянные под заказ;CONSTRUCTION;B2C;60000-300000;круглый год;да;Чистая работа под заказ, высокий чек
N040;Хозблоки, бытовки, модульные строения;CONSTRUCTION;B2C/B2B;80000-400000;весна-осень;да - под заказ;Авито — основной канал категории, МП невозможен
N041;Теплицы и поликарбонат;GARDEN_FARM;B2C;20000-80000;февраль-май;да;Жёсткий сезонный триггер, габарит
N050;Промышленное и уличное освещение;ENERGY;B2B;15000-150000;осень;да;Расчёт освещённости + B2B-партии со счётом
N052;Мебельные комплектующие: столешницы, фасады;FURNITURE;B2B/B2C;8000-60000;низкая;да - под заказ;Под заказ по размерам, высокий повтор от мебельных цехов
N053;Механизмы трансформации и каркасы для мягкой мебели;FURNITURE;B2B;5000-40000;низкая;да;B2B-повтор, прямая компетенция предпринимателя в мебели
N054;Мебель по индивидуальным размерам (шкафы, гардеробные);FURNITURE;B2C;40000-200000;низкая;да - идеально;Подтверждённо сильная категория Авито (S17), под заказ без склада
N055;Мебель для HoReCa (столы, стулья, диваны для кафе);FURNITURE;B2B;40000-300000;низкая;да - под заказ;B2B-партии под заказ, габарит, чек от 40 тыс
N057;Складские стеллажи и мезонины;LOGISTICS_PACK;B2B;40000-400000;низкая;да - под заказ;Расчёт под помещение, B2B со счётом, габарит
N059;Мягкая модульная мебель под заказ;FURNITURE;B2C;50000-250000;низкая;да - идеально;Прямая компетенция + работа под заказ + габарит
N060;Кухни на заказ (агентская модель);FURNITURE;B2C;120000-500000;низкая;да - идеально;Агентская модель в чистом виде, чек от 120 тыс
N064;Фаркопы, багажники, защита картера;AUTO;B2C;8000-40000;весна-лето;да;Подбор под конкретную модель авто — МП путает применимость
N067;Прицепы легковые;AUTO;B2C;60000-250000;весна-лето;да - под заказ;Габарит, высокий чек, Авито — основной канал категории
N069;Товары для коммерческого транспорта;AUTO;B2B;10000-100000;низкая;да;Простой транспорта = срочная вынужденная покупка
N070;Навесное оборудование для спецтехники;AUTO;B2B;60000-500000;сезонно;да - под заказ;Очень высокий чек, узкий но платёжеспособный B2B
N071;Садовая техника (мотоблоки, культиваторы);GARDEN_FARM;B2C;25000-120000;март-июнь;да;Сезонный триггер, габарит, консультация
N075;Оборудование для пчеловодства;GARDEN_FARM;B2C/B2B;10000-80000;февраль-май;да;Крайне слабое конкурентное поле, расходники дают повтор
N077;Оборудование для КФХ (доильные аппараты, кормораздача);GARDEN_FARM;B2B;40000-300000;низкая;да;Слабое поле, высокий чек, консультационная продажа
N079;Вольеры и будки для собак крупных пород;PETS;B2C;20000-100000;весна-осень;да - под заказ;Под заказ по размерам, габарит
N081;Товары для содержания лошадей;PETS;B2C/B2B;15000-150000;низкая;да;Слабейшее конкурентное поле в выборке, платёжеспособный сегмент
N083;Лодки, катера, комплектующие;SPORT_HOBBY;B2C;50000-500000;март-июль;да - под заказ;Габарит и высокий чек, Авито — исторически основной канал
N084;Лодочные моторы и запчасти;SPORT_HOBBY;B2C;40000-300000;март-июль;да;Подбор + расходка, высокий чек
N087;Оборудование для единоборств (татами, мешки, ринги);SPORT_HOBBY;B2B;30000-300000;август-сентябрь;да - под заказ;Слабое поле, B2B-комплекты под зал, работа под заказ
N088;Лазерные станки и ЧПУ для мастерских;PRODUCTION;B2B;80000-600000;низкая;частично;Высокий чек, растущий сегмент микропроизводств
N089;Оборудование для сублимации и печати на текстиле;PRODUCTION;B2B;30000-250000;осень;да;Расходка даёт мощный повтор, поле слабое
N094;Торговые павильоны и киоски;TRADE_EQUIP;B2B;150000-800000;весна-осень;да - под заказ;Очень высокий чек, чистый под заказ, МП невозможен
N097;Складская техника (рохли, штабелеры, тележки);LOGISTICS_PACK;B2B;25000-250000;низкая;да;Поломка техники останавливает склад — вынужденный спрос
N099;Упаковочное оборудование (запайщики, стрейч-машины);LOGISTICS_PACK;B2B;20000-200000;низкая;да;Расходка даёт повтор, поле слабое, растёт вместе с e-commerce
