id;domain;nisha;proshla_filtr;score;istochnik
N061;AUTO;Автозапчасти под заказ по VIN;нет;;базовая сотня
N062;AUTO;Автохимия и расходники ТО;нет;;базовая сотня
N063;AUTO;Тюнинг и обвесы;нет;;базовая сотня
N064;AUTO;Фаркопы, багажники, защита картера;да;7.02;базовая сотня
N065;AUTO;Шины и диски;нет;;базовая сотня
N066;AUTO;Автоэлектроника (регистраторы, сигнализации);нет;;базовая сотня
N067;AUTO;Прицепы легковые;да;7.58;базовая сотня
N068;AUTO;Оборудование для гаража (домкраты, стойки, верстаки);нет;;базовая сотня
N069;AUTO;Товары для коммерческого транспорта;да;7.76;базовая сотня
N070;AUTO;Навесное оборудование для спецтехники;да;8.12;базовая сотня
N003;B2B_EQUIP;Оборудование для кофеен (проф. кофемашины, кофемолки);нет;;базовая сотня
N004;B2B_EQUIP;Оборудование для пекарен (печи, расстойки, тестомесы);да;6.91;базовая сотня
N005;B2B_EQUIP;Оборудование для бьюти (кресла, вытяжки, лампы, мойки);нет;;базовая сотня
N006;B2B_EQUIP;Оборудование для автосервиса (подъемники, стенды);да;7.52;базовая сотня
N007;B2B_EQUIP;Оборудование для шиномонтажа;да;6.62;базовая сотня
N008;B2B_EQUIP;Оборудование для моек самообслуживания;нет;;базовая сотня
N009;B2B_EQUIP;Прачечное оборудование (промышленные стиралки, сушки);нет;;базовая сотня
N010;B2B_EQUIP;Оборудование для пищевого производства (тестомесы, куттеры);нет;;базовая сотня
N011;B2B_EQUIP;Швейное оборудование промышленное;да;7.67;базовая сотня
N012;B2B_EQUIP;Деревообрабатывающие станки;да;7.57;базовая сотня
N013;B2B_EQUIP;Металлообрабатывающие станки и ЧПУ;нет;;базовая сотня
N014;B2B_EQUIP;Сварочное оборудование профессиональное;да;5.66;базовая сотня
N015;B2B_EQUIP;Компрессоры и пневмооборудование;да;7.36;базовая сотня
N033;CONSTRUCTION;Утеплители и изоляция;нет;;базовая сотня
N034;CONSTRUCTION;Кровельные материалы и комплектующие;нет;;базовая сотня
N035;CONSTRUCTION;Фасадные системы и сайдинг;нет;;базовая сотня
N036;CONSTRUCTION;Заборы и ограждения (профлист, 3D-сетка, штакетник);да;6.38;базовая сотня
N037;CONSTRUCTION;Ворота и автоматика для ворот;да;7.33;базовая сотня
N038;CONSTRUCTION;Металлоконструкции под заказ (навесы, каркасы);да;6.86;базовая сотня
N039;CONSTRUCTION;Лестницы металлические и деревянные под заказ;да;7.36;базовая сотня
N040;CONSTRUCTION;Хозблоки, бытовки, модульные строения;да;7.31;базовая сотня
N044;CONSTRUCTION;Строительный инструмент профессиональный;нет;;базовая сотня
N045;CONSTRUCTION;Аренда строительного инструмента;нет;;базовая сотня
N046;CONSTRUCTION;Опалубка и оснастка для бетонных работ;нет;;базовая сотня
N047;CONSTRUCTION;Строительные леса и вышки-туры;нет;;базовая сотня
N096;CONSTRUCTION;Оборудование для детских площадок;нет;;базовая сотня
E26;ENERGY;Солнечные панели и автономные системы для дома;да;6.92;добор тонких
E27;ENERGY;Накопители энергии LiFePO4 для дома и дачи;да;6.82;добор тонких
E28;ENERGY;Зарядные станции для электротранспорта;да;7.13;добор тонких
E29;ENERGY;Тепловое электрооборудование (ИК-панели, конвекторы);нет;;добор тонких
E30;ENERGY;Кабельная продукция и кабеленесущие системы;нет;;добор тонких
E31;ENERGY;Молниезащита и заземление (комплекты);да;7.03;добор тонких
E32;ENERGY;Трансформаторные подстанции малой мощности;да;7.23;добор тонких
E33;ENERGY;Фитосветильники и освещение для растениеводства;да;6.32;добор тонких
E34;ENERGY;Взрывозащищённое промышленное электрооборудование;нет;;добор тонких
E35;ENERGY;Приборы учёта и энергоаудита (счётчики, тепловизоры);да;5.97;добор тонких
N016;ENERGY;Генераторы и электростанции;да;7.67;базовая сотня
N017;ENERGY;Стабилизаторы напряжения и ИБП для дома и дачи;да;6.97;базовая сотня
N050;ENERGY;Промышленное и уличное освещение;да;7.86;базовая сотня
N021;ENGINEERING;Насосное оборудование и гидроаккумуляторы;да;7.66;базовая сотня
N022;ENGINEERING;Системы водоочистки и фильтрации для дома;да;8.32;базовая сотня
N023;ENGINEERING;Скважинное оборудование (насосы, оголовки, кессоны);да;7.81;базовая сотня
N024;ENGINEERING;Септики и станции биоочистки;да;7.31;базовая сотня
N025;ENGINEERING;Отопительные котлы и радиаторы;нет;;базовая сотня
N026;ENGINEERING;Теплый пол и терморегуляторы;нет;;базовая сотня
N027;ENGINEERING;Дымоходы и сэндвич-трубы;да;6.87;базовая сотня
N028;ENGINEERING;Печи и камины для дачи и дома;да;7.02;базовая сотня
N029;ENGINEERING;Банное оборудование (печи, каменки, купели);да;6.72;базовая сотня
N030;ENGINEERING;Вентиляция и рекуператоры;да;7.12;базовая сотня
N031;ENGINEERING;Кондиционеры и сплит-системы;нет;;базовая сотня
N032;ENGINEERING;Тепловые насосы;нет;;базовая сотня
N049;ENGINEERING;Электрощитовое оборудование и автоматика;нет;;базовая сотня
N051;FURNITURE;Мебельная фурнитура (петли, направляющие, механизмы);нет;;базовая сотня
N052;FURNITURE;Мебельные комплектующие: столешницы, фасады;да;7.62;базовая сотня
N053;FURNITURE;Механизмы трансформации и каркасы для мягкой мебели;да;7.82;базовая сотня
N054;FURNITURE;Мебель по индивидуальным размерам (шкафы, гардеробные);да;6.41;базовая сотня
N055;FURNITURE;Мебель для HoReCa (столы, стулья, диваны для кафе);да;8.15;базовая сотня
N056;FURNITURE;Офисная мебель новая и б/у;нет;;базовая сотня
N058;FURNITURE;Матрасы и основания;нет;;базовая сотня
N059;FURNITURE;Мягкая модульная мебель под заказ;да;7.96;базовая сотня
N060;FURNITURE;Кухни на заказ (агентская модель);да;7.26;базовая сотня
N041;GARDEN_FARM;Теплицы и поликарбонат;да;5.43;базовая сотня
N042;GARDEN_FARM;Дачная инфраструктура (душ, туалет, емкости для воды);нет;;базовая сотня
N043;GARDEN_FARM;Емкости и резервуары пластиковые (еврокубы, баки);нет;;базовая сотня
N071;GARDEN_FARM;Садовая техника (мотоблоки, культиваторы);да;5.22;базовая сотня
N072;GARDEN_FARM;Газонокосилки, триммеры и расходка;нет;;базовая сотня
N073;GARDEN_FARM;Мотопомпы и системы полива;нет;;базовая сотня
N074;GARDEN_FARM;Дровоколы, бензопилы, садовый бензоинструмент;нет;;базовая сотня
N075;GARDEN_FARM;Оборудование для пчеловодства;да;7.42;базовая сотня
N076;GARDEN_FARM;Оборудование для птицеводства (инкубаторы, брудеры);нет;;базовая сотня
N077;GARDEN_FARM;Оборудование для КФХ (доильные аппараты, кормораздача);да;8.16;базовая сотня
E09;LOGISTICS_PACK;Оборотная пластиковая тара и ящики;нет;;добор тонких
E10;LOGISTICS_PACK;Паллеты и поддоны;нет;;добор тонких
E11;LOGISTICS_PACK;Весовое оборудование (платформенные и паллетные весы);да;6.92;добор тонких
E12;LOGISTICS_PACK;Терминалы сбора данных и складское оборудование маркировки;да;6.96;добор тонких
E13;LOGISTICS_PACK;Погрузочная оснастка: рампы, уравнительные платформы, докшелтеры;да;7.23;добор тонких
E14;LOGISTICS_PACK;Средства крепления груза (ремни, распорки, сетки);да;6.35;добор тонких
E15;LOGISTICS_PACK;Сборные холодильные камеры для склада;да;7.43;добор тонких
E16;LOGISTICS_PACK;Тентовые ангары и модульные складские конструкции;да;6.81;добор тонких
N048;LOGISTICS_PACK;Такелаж, стропы, грузоподъемное оснащение;нет;;базовая сотня
N057;LOGISTICS_PACK;Складские стеллажи и мезонины;да;7.95;базовая сотня
N097;LOGISTICS_PACK;Складская техника (рохли, штабелеры, тележки);да;8.02;базовая сотня
N098;LOGISTICS_PACK;Мини-погрузчики и навесное;нет;;базовая сотня
N099;LOGISTICS_PACK;Упаковочное оборудование (запайщики, стрейч-машины);да;8.22;базовая сотня
N100;LOGISTICS_PACK;Упаковка и расходники для бизнеса (гофра, стрейч, скотч);нет;;базовая сотня
N078;PETS;Клетки, вольеры, кормушки для животных;нет;;базовая сотня
N079;PETS;Вольеры и будки для собак крупных пород;да;6.51;базовая сотня
N080;PETS;Аквариумы и оборудование;нет;;базовая сотня
N081;PETS;Товары для содержания лошадей;да;7.66;базовая сотня
N082;PETS;Ветеринарное оборудование и препараты;нет;;базовая сотня
P01;PETS_RETAIL;Груминг-оборудование (столы, ванны, фены, машинки);да;7.01;добор PETS
P02;PETS_RETAIL;Наполнители для кошачьих туалетов;нет;;добор PETS
P03;PETS_RETAIL;Лежанки, домики, когтеточки под размер;да;6.0;добор PETS
P04;PETS_RETAIL;Клетки и вольеры для питомников и заводчиков;да;6.45;добор PETS
P05;PETS_RETAIL;Амуниция для крупных и служебных собак;да;5.96;добор PETS
P06;PETS_RETAIL;Профессиональная аквариумистика (стойки, УЗВ, фильтрация);нет;;добор PETS
P07;PETS_RETAIL;Террариумы и оборудование для рептилий;нет;;добор PETS
P08;PETS_RETAIL;Торговое оборудование для зоомагазинов;нет;;добор PETS
P09;PETS_RETAIL;Автокормушки, автопоилки, фонтаны;нет;;добор PETS
P10;PETS_RETAIL;Снаряжение для кинологов и охотничьих собак;да;6.26;добор PETS
P11;PETS_RETAIL;Оборудование для дрессировочных площадок и аджилити;да;7.11;добор PETS
P12;PETS_RETAIL;Оборудование для приютов и передержек;да;6.62;добор PETS
P13;PETS_RETAIL;Корма для животных оптом;нет;;добор PETS
E01;PRODUCTION;Маркировочное оборудование (принтеры этикеток, термотрансфер);да;7.42;добор тонких
E02;PRODUCTION;3D-печать: принтеры и расходка;да;5.9;добор тонких
E03;PRODUCTION;Оборудование для порошковой окраски (камеры, пистолеты, печи);да;7.61;добор тонких
E04;PRODUCTION;Оборудование для производства бетонных изделий (вибростолы, формы);да;6.41;добор тонких
E05;PRODUCTION;Заточное оборудование и расходка;да;6.55;добор тонких
E06;PRODUCTION;Паяльные и монтажные станции для электроники;да;5.81;добор тонких
E07;PRODUCTION;Аспирация и пылеудаление для цехов;да;7.72;добор тонких
E08;PRODUCTION;Вакуумная формовка и малое литьё полимеров;да;7.01;добор тонких
N018;PRODUCTION;Сварочные расходники (электроды, проволока, газ);нет;;базовая сотня
N019;PRODUCTION;Абразивы и расходка для металлообработки;нет;;базовая сотня
N020;PRODUCTION;Промышленный крепеж и метизы;нет;;базовая сотня
N088;PRODUCTION;Лазерные станки и ЧПУ для мастерских;да;7.0;базовая сотня
N089;PRODUCTION;Оборудование для сублимации и печати на текстиле;да;8.02;базовая сотня
N090;PRODUCTION;Оборудование и сырье для мыловарения, свечей, эпоксидки;нет;;базовая сотня
N083;SPORT_HOBBY;Лодки, катера, комплектующие;да;6.58;базовая сотня
N084;SPORT_HOBBY;Лодочные моторы и запчасти;да;6.5;базовая сотня
N085;SPORT_HOBBY;Комплектующие для снегоходов и квадроциклов;нет;;базовая сотня
N086;SPORT_HOBBY;Тренажеры для дома и залов;нет;;базовая сотня
N087;SPORT_HOBBY;Оборудование для единоборств (татами, мешки, ринги);да;8.0;базовая сотня
N091;SPORT_HOBBY;Звуковое и световое оборудование для мероприятий;нет;;базовая сотня
N092;SPORT_HOBBY;Оборудование для фотостудий;нет;;базовая сотня
N093;SPORT_HOBBY;Event-оборудование (шатры, мебель для мероприятий);нет;;базовая сотня
E17;TRADE_EQUIP;Кассовое оборудование и оснащение;да;6.11;добор тонких
E18;TRADE_EQUIP;Оборудование для пунктов выдачи заказов;да;8.1;добор тонких
E19;TRADE_EQUIP;Торговое оборудование для аптек;да;7.18;добор тонких
E20;TRADE_EQUIP;Оборудование для магазинов разливных напитков;да;7.06;добор тонких
E21;TRADE_EQUIP;Защищённые витрины для ювелирных и оптик;да;7.33;добор тонких
E22;TRADE_EQUIP;Оборудование для рынков и ярмарок (палатки, прилавки);да;5.57;добор тонких
E23;TRADE_EQUIP;Противокражные системы (ворота, датчики, этикетки);да;7.06;добор тонких
E24;TRADE_EQUIP;Комплексное оснащение магазина под ключ;нет;;добор тонких
E25;TRADE_EQUIP;Рекламно-информационное оборудование для торговли;да;6.47;добор тонких
N001;TRADE_EQUIP;Торговое оборудование (витрины, стеллажи, прилавки);да;7.62;базовая сотня
N002;TRADE_EQUIP;Холодильное оборудование для магазинов и HoReCa;да;7.26;базовая сотня
N094;TRADE_EQUIP;Торговые павильоны и киоски;да;7.86;базовая сотня
N095;TRADE_EQUIP;Вендинговые аппараты;нет;;базовая сотня
