poryadok;nisha_id;nisha;tip_respondenta;segment;kontakt_nayden;kontakt_sostoyalsya;prichina_otkaza;q1_chto_pokupali;q2_GDE_NASHLI_postavshchika;q3_GDE_KUPILI;q4_alternativy;q5_pochemu_etot_postavshchik;q6_chto_ne_ustraivaet;q7_TRIGGER_SMENY;q8_gde_nachinayut_iskat;q9_avito_12mes;q10_pokupka_cherez_avito;q10_chto_i_na_skolko;q10_pochemu_net;q11_chto_dolzhno_byt_luchshe;citata;signal
1;N053;Механизмы и каркасы;фабрика мягкой мебели / дилер фурнитуры;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
2;N053;Механизмы и каркасы;фабрика мягкой мебели / дилер фурнитуры;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
3;N097;Складская техника;склад / ПВЗ / оптовая база;B2B малый;нет;нет;;;;;;;;;;;;;;;;
4;N097;Складская техника;склад / ПВЗ / оптовая база;B2B малый;нет;нет;;;;;;;;;;;;;;;;
5;N089;Сублимация и печать;мастерская печати / начинающий мерч;микробизнес;нет;нет;;;;;;;;;;;;;;;;
6;N089;Сублимация и печать;мастерская печати / начинающий мерч;микробизнес;нет;нет;;;;;;;;;;;;;;;;
7;N052;Мебельные комплектующие;мебельный цех / частник после ремонта;B2B малый + B2C;нет;нет;;;;;;;;;;;;;;;;
8;N053;Механизмы и каркасы;фабрика мягкой мебели / дилер фурнитуры;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
9;XXX;Независимый кандидат (резерв);определяется на месте;любой;нет;нет;;;;;;;;;;;;;;;;
10;N099;Упаковочное оборудование;пищевое микропроизводство / фасовщик;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
11;N099;Упаковочное оборудование;пищевое микропроизводство / фасовщик;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
12;N052;Мебельные комплектующие;мебельный цех / частник после ремонта;B2B малый + B2C;нет;нет;;;;;;;;;;;;;;;;
13;N077;Оборудование для КФХ;КФХ / ЛПХ;B2B малый;нет;нет;;;;;;;;;;;;;;;;
14;N097;Складская техника;склад / ПВЗ / оптовая база;B2B малый;нет;нет;;;;;;;;;;;;;;;;
15;N052;Мебельные комплектующие;мебельный цех / частник после ремонта;B2B малый + B2C;нет;нет;;;;;;;;;;;;;;;;
16;N099;Упаковочное оборудование;пищевое микропроизводство / фасовщик;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
17;N089;Сублимация и печать;мастерская печати / начинающий мерч;микробизнес;нет;нет;;;;;;;;;;;;;;;;
18;N097;Складская техника;склад / ПВЗ / оптовая база;B2B малый;нет;нет;;;;;;;;;;;;;;;;
19;N053;Механизмы и каркасы;фабрика мягкой мебели / дилер фурнитуры;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
20;N097;Складская техника;склад / ПВЗ / оптовая база;B2B малый;нет;нет;;;;;;;;;;;;;;;;
21;N077;Оборудование для КФХ;КФХ / ЛПХ;B2B малый;нет;нет;;;;;;;;;;;;;;;;
22;N097;Складская техника;склад / ПВЗ / оптовая база;B2B малый;нет;нет;;;;;;;;;;;;;;;;
23;XXX;Независимый кандидат (резерв);определяется на месте;любой;нет;нет;;;;;;;;;;;;;;;;
24;XXX;Независимый кандидат (резерв);определяется на месте;любой;нет;нет;;;;;;;;;;;;;;;;
25;N089;Сублимация и печать;мастерская печати / начинающий мерч;микробизнес;нет;нет;;;;;;;;;;;;;;;;
26;N053;Механизмы и каркасы;фабрика мягкой мебели / дилер фурнитуры;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
27;N077;Оборудование для КФХ;КФХ / ЛПХ;B2B малый;нет;нет;;;;;;;;;;;;;;;;
28;N052;Мебельные комплектующие;мебельный цех / частник после ремонта;B2B малый + B2C;нет;нет;;;;;;;;;;;;;;;;
29;N077;Оборудование для КФХ;КФХ / ЛПХ;B2B малый;нет;нет;;;;;;;;;;;;;;;;
30;N053;Механизмы и каркасы;фабрика мягкой мебели / дилер фурнитуры;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
31;N052;Мебельные комплектующие;мебельный цех / частник после ремонта;B2B малый + B2C;нет;нет;;;;;;;;;;;;;;;;
32;N077;Оборудование для КФХ;КФХ / ЛПХ;B2B малый;нет;нет;;;;;;;;;;;;;;;;
33;N052;Мебельные комплектующие;мебельный цех / частник после ремонта;B2B малый + B2C;нет;нет;;;;;;;;;;;;;;;;
34;N089;Сублимация и печать;мастерская печати / начинающий мерч;микробизнес;нет;нет;;;;;;;;;;;;;;;;
35;N077;Оборудование для КФХ;КФХ / ЛПХ;B2B малый;нет;нет;;;;;;;;;;;;;;;;
36;XXX;Независимый кандидат (резерв);определяется на месте;любой;нет;нет;;;;;;;;;;;;;;;;
37;N077;Оборудование для КФХ;КФХ / ЛПХ;B2B малый;нет;нет;;;;;;;;;;;;;;;;
38;N053;Механизмы и каркасы;фабрика мягкой мебели / дилер фурнитуры;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
39;N077;Оборудование для КФХ;КФХ / ЛПХ;B2B малый;нет;нет;;;;;;;;;;;;;;;;
40;XXX;Независимый кандидат (резерв);определяется на месте;любой;нет;нет;;;;;;;;;;;;;;;;
41;N077;Оборудование для КФХ;КФХ / ЛПХ;B2B малый;нет;нет;;;;;;;;;;;;;;;;
42;N099;Упаковочное оборудование;пищевое микропроизводство / фасовщик;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
43;N099;Упаковочное оборудование;пищевое микропроизводство / фасовщик;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
44;N099;Упаковочное оборудование;пищевое микропроизводство / фасовщик;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
45;N052;Мебельные комплектующие;мебельный цех / частник после ремонта;B2B малый + B2C;нет;нет;;;;;;;;;;;;;;;;
46;N053;Механизмы и каркасы;фабрика мягкой мебели / дилер фурнитуры;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
47;N052;Мебельные комплектующие;мебельный цех / частник после ремонта;B2B малый + B2C;нет;нет;;;;;;;;;;;;;;;;
48;N052;Мебельные комплектующие;мебельный цех / частник после ремонта;B2B малый + B2C;нет;нет;;;;;;;;;;;;;;;;
49;N089;Сублимация и печать;мастерская печати / начинающий мерч;микробизнес;нет;нет;;;;;;;;;;;;;;;;
50;N052;Мебельные комплектующие;мебельный цех / частник после ремонта;B2B малый + B2C;нет;нет;;;;;;;;;;;;;;;;
51;XXX;Независимый кандидат (резерв);определяется на месте;любой;нет;нет;;;;;;;;;;;;;;;;
52;XXX;Независимый кандидат (резерв);определяется на месте;любой;нет;нет;;;;;;;;;;;;;;;;
53;N089;Сублимация и печать;мастерская печати / начинающий мерч;микробизнес;нет;нет;;;;;;;;;;;;;;;;
54;N099;Упаковочное оборудование;пищевое микропроизводство / фасовщик;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
55;N097;Складская техника;склад / ПВЗ / оптовая база;B2B малый;нет;нет;;;;;;;;;;;;;;;;
56;N089;Сублимация и печать;мастерская печати / начинающий мерч;микробизнес;нет;нет;;;;;;;;;;;;;;;;
57;N099;Упаковочное оборудование;пищевое микропроизводство / фасовщик;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
58;N097;Складская техника;склад / ПВЗ / оптовая база;B2B малый;нет;нет;;;;;;;;;;;;;;;;
59;N097;Складская техника;склад / ПВЗ / оптовая база;B2B малый;нет;нет;;;;;;;;;;;;;;;;
60;XXX;Независимый кандидат (резерв);определяется на месте;любой;нет;нет;;;;;;;;;;;;;;;;
61;N089;Сублимация и печать;мастерская печати / начинающий мерч;микробизнес;нет;нет;;;;;;;;;;;;;;;;
62;N089;Сублимация и печать;мастерская печати / начинающий мерч;микробизнес;нет;нет;;;;;;;;;;;;;;;;
63;N099;Упаковочное оборудование;пищевое микропроизводство / фасовщик;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
64;N099;Упаковочное оборудование;пищевое микропроизводство / фасовщик;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
65;N077;Оборудование для КФХ;КФХ / ЛПХ;B2B малый;нет;нет;;;;;;;;;;;;;;;;
66;N053;Механизмы и каркасы;фабрика мягкой мебели / дилер фурнитуры;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
67;XXX;Независимый кандидат (резерв);определяется на месте;любой;нет;нет;;;;;;;;;;;;;;;;
68;XXX;Независимый кандидат (резерв);определяется на месте;любой;нет;нет;;;;;;;;;;;;;;;;
69;N097;Складская техника;склад / ПВЗ / оптовая база;B2B малый;нет;нет;;;;;;;;;;;;;;;;
70;N053;Механизмы и каркасы;фабрика мягкой мебели / дилер фурнитуры;B2B промышленный;нет;нет;;;;;;;;;;;;;;;;
