n;kompaniya;tip;region;razmer;kontakt_nayden;kontakt_sostoyalsya;prichina_otkaza;ispolzuyut_avito;pokupali_cherez_avito;gde_ishchut_postavshchikov;tekushchiy_postavshchik;glavnaya_problema;smena_postavshchika_vozmozhna;prichina_smeny;klyuchevoy_kriteriy_pokupki;citata;itogovyy_signal
1;;фабрика мягкой мебели;;;нет;нет;;;;;;;;;;;
2;;фабрика мягкой мебели;;;нет;нет;;;;;;;;;;;
3;;фабрика мягкой мебели;;;нет;нет;;;;;;;;;;;
4;;небольшое мебельное производство;;;нет;нет;;;;;;;;;;;
5;;небольшое мебельное производство;;;нет;нет;;;;;;;;;;;
6;;небольшое мебельное производство;;;нет;нет;;;;;;;;;;;
7;;мебель на заказ;;;нет;нет;;;;;;;;;;;
8;;мебель на заказ;;;нет;нет;;;;;;;;;;;
9;;поставщик/дилер фурнитуры;;;нет;нет;;;;;;;;;;;
10;;поставщик/дилер фурнитуры;;;нет;нет;;;;;;;;;;;
