nisha_id;nisha;n;tip_respondenta;kontakt_nayden;kontakt_sostoyalsya;prichina_otkaza;q1_poslednyaya_pokupka;q2_gde_pokupali;q3_pochemu_etot_postavshchik;q4_alternativy;q5_chto_bylo_slozhno;q6_chto_ne_ustraivaet;q7_chastota;q8_sredniy_obyem;q9_gde_ishchut_postavshchikov;q10_ispolzuyut_avito;q11_uslovie_smeny;citata;signal
N089;сублимация и печать;1;мастерская печати / начинающий мерч;нет;нет;;;;;;;;;;;;;;
N089;сублимация и печать;2;мастерская печати / начинающий мерч;нет;нет;;;;;;;;;;;;;;
N089;сублимация и печать;3;мастерская печати / начинающий мерч;нет;нет;;;;;;;;;;;;;;
N089;сублимация и печать;4;мастерская печати / начинающий мерч;нет;нет;;;;;;;;;;;;;;
N089;сублимация и печать;5;мастерская печати / начинающий мерч;нет;нет;;;;;;;;;;;;;;
N089;сублимация и печать;6;мастерская печати / начинающий мерч;нет;нет;;;;;;;;;;;;;;
N089;сублимация и печать;7;мастерская печати / начинающий мерч;нет;нет;;;;;;;;;;;;;;
N089;сублимация и печать;8;мастерская печати / начинающий мерч;нет;нет;;;;;;;;;;;;;;
N089;сублимация и печать;9;мастерская печати / начинающий мерч;нет;нет;;;;;;;;;;;;;;
N089;сублимация и печать;10;мастерская печати / начинающий мерч;нет;нет;;;;;;;;;;;;;;
N052;мебельные комплектующие;1;мебельный цех / частник после ремонта;нет;нет;;;;;;;;;;;;;;
N052;мебельные комплектующие;2;мебельный цех / частник после ремонта;нет;нет;;;;;;;;;;;;;;
N052;мебельные комплектующие;3;мебельный цех / частник после ремонта;нет;нет;;;;;;;;;;;;;;
N052;мебельные комплектующие;4;мебельный цех / частник после ремонта;нет;нет;;;;;;;;;;;;;;
N052;мебельные комплектующие;5;мебельный цех / частник после ремонта;нет;нет;;;;;;;;;;;;;;
N052;мебельные комплектующие;6;мебельный цех / частник после ремонта;нет;нет;;;;;;;;;;;;;;
N052;мебельные комплектующие;7;мебельный цех / частник после ремонта;нет;нет;;;;;;;;;;;;;;
N052;мебельные комплектующие;8;мебельный цех / частник после ремонта;нет;нет;;;;;;;;;;;;;;
N052;мебельные комплектующие;9;мебельный цех / частник после ремонта;нет;нет;;;;;;;;;;;;;;
N052;мебельные комплектующие;10;мебельный цех / частник после ремонта;нет;нет;;;;;;;;;;;;;;
N099;упаковочное оборудование;1;пищевое микропроизводство / фасовщик;нет;нет;;;;;;;;;;;;;;
N099;упаковочное оборудование;2;пищевое микропроизводство / фасовщик;нет;нет;;;;;;;;;;;;;;
N099;упаковочное оборудование;3;пищевое микропроизводство / фасовщик;нет;нет;;;;;;;;;;;;;;
N099;упаковочное оборудование;4;пищевое микропроизводство / фасовщик;нет;нет;;;;;;;;;;;;;;
N099;упаковочное оборудование;5;пищевое микропроизводство / фасовщик;нет;нет;;;;;;;;;;;;;;
N099;упаковочное оборудование;6;пищевое микропроизводство / фасовщик;нет;нет;;;;;;;;;;;;;;
N099;упаковочное оборудование;7;пищевое микропроизводство / фасовщик;нет;нет;;;;;;;;;;;;;;
N099;упаковочное оборудование;8;пищевое микропроизводство / фасовщик;нет;нет;;;;;;;;;;;;;;
N099;упаковочное оборудование;9;пищевое микропроизводство / фасовщик;нет;нет;;;;;;;;;;;;;;
N099;упаковочное оборудование;10;пищевое микропроизводство / фасовщик;нет;нет;;;;;;;;;;;;;;
N097;складская техника;1;склад / ПВЗ / оптовая база;нет;нет;;;;;;;;;;;;;;
N097;складская техника;2;склад / ПВЗ / оптовая база;нет;нет;;;;;;;;;;;;;;
N097;складская техника;3;склад / ПВЗ / оптовая база;нет;нет;;;;;;;;;;;;;;
N097;складская техника;4;склад / ПВЗ / оптовая база;нет;нет;;;;;;;;;;;;;;
N097;складская техника;5;склад / ПВЗ / оптовая база;нет;нет;;;;;;;;;;;;;;
N097;складская техника;6;склад / ПВЗ / оптовая база;нет;нет;;;;;;;;;;;;;;
N097;складская техника;7;склад / ПВЗ / оптовая база;нет;нет;;;;;;;;;;;;;;
N097;складская техника;8;склад / ПВЗ / оптовая база;нет;нет;;;;;;;;;;;;;;
N097;складская техника;9;склад / ПВЗ / оптовая база;нет;нет;;;;;;;;;;;;;;
N097;складская техника;10;склад / ПВЗ / оптовая база;нет;нет;;;;;;;;;;;;;;
N022;водоочистка;1;владелец частного дома со скважиной;нет;нет;;;;;;;;;;;;;;
N022;водоочистка;2;владелец частного дома со скважиной;нет;нет;;;;;;;;;;;;;;
N022;водоочистка;3;владелец частного дома со скважиной;нет;нет;;;;;;;;;;;;;;
N022;водоочистка;4;владелец частного дома со скважиной;нет;нет;;;;;;;;;;;;;;
N022;водоочистка;5;владелец частного дома со скважиной;нет;нет;;;;;;;;;;;;;;
N022;водоочистка;6;владелец частного дома со скважиной;нет;нет;;;;;;;;;;;;;;
N022;водоочистка;7;владелец частного дома со скважиной;нет;нет;;;;;;;;;;;;;;
N022;водоочистка;8;владелец частного дома со скважиной;нет;нет;;;;;;;;;;;;;;
N022;водоочистка;9;владелец частного дома со скважиной;нет;нет;;;;;;;;;;;;;;
N022;водоочистка;10;владелец частного дома со скважиной;нет;нет;;;;;;;;;;;;;;
N053;механизмы и каркасы;1;фабрика мягкой мебели / дилер фурнитуры;нет;нет;;;;;;;;;;;;;;
N053;механизмы и каркасы;2;фабрика мягкой мебели / дилер фурнитуры;нет;нет;;;;;;;;;;;;;;
N053;механизмы и каркасы;3;фабрика мягкой мебели / дилер фурнитуры;нет;нет;;;;;;;;;;;;;;
N053;механизмы и каркасы;4;фабрика мягкой мебели / дилер фурнитуры;нет;нет;;;;;;;;;;;;;;
N053;механизмы и каркасы;5;фабрика мягкой мебели / дилер фурнитуры;нет;нет;;;;;;;;;;;;;;
N053;механизмы и каркасы;6;фабрика мягкой мебели / дилер фурнитуры;нет;нет;;;;;;;;;;;;;;
N053;механизмы и каркасы;7;фабрика мягкой мебели / дилер фурнитуры;нет;нет;;;;;;;;;;;;;;
N053;механизмы и каркасы;8;фабрика мягкой мебели / дилер фурнитуры;нет;нет;;;;;;;;;;;;;;
N053;механизмы и каркасы;9;фабрика мягкой мебели / дилер фурнитуры;нет;нет;;;;;;;;;;;;;;
N053;механизмы и каркасы;10;фабрика мягкой мебели / дилер фурнитуры;нет;нет;;;;;;;;;;;;;;
N077;оборудование для КФХ;1;КФХ / ЛПХ;нет;нет;;;;;;;;;;;;;;
N077;оборудование для КФХ;2;КФХ / ЛПХ;нет;нет;;;;;;;;;;;;;;
N077;оборудование для КФХ;3;КФХ / ЛПХ;нет;нет;;;;;;;;;;;;;;
N077;оборудование для КФХ;4;КФХ / ЛПХ;нет;нет;;;;;;;;;;;;;;
N077;оборудование для КФХ;5;КФХ / ЛПХ;нет;нет;;;;;;;;;;;;;;
N077;оборудование для КФХ;6;КФХ / ЛПХ;нет;нет;;;;;;;;;;;;;;
N077;оборудование для КФХ;7;КФХ / ЛПХ;нет;нет;;;;;;;;;;;;;;
N077;оборудование для КФХ;8;КФХ / ЛПХ;нет;нет;;;;;;;;;;;;;;
N077;оборудование для КФХ;9;КФХ / ЛПХ;нет;нет;;;;;;;;;;;;;;
N077;оборудование для КФХ;10;КФХ / ЛПХ;нет;нет;;;;;;;;;;;;;;
