rank;id;nisha;FINAL_SCORE;A_pokazov_mes_RF;A_pokazov_mes_gorod;A_dinamika_gg;A_pik_sezona;B_kommercheskoe_namerenie;C_obyavleniy_vsego;C_dolya_kompaniy;C_mediana_ceny;D_ball_kachestva_top10;D_skorost_otveta;E_preimushchestv_avito_sht;F_model_raboty;F_marzha_sdelka_ocenka;F_na_kom_garantiya;PERESCHET_SCORE;RESHENIE;data_zamera
1;N022;Водоочистка и фильтрация для частного дома;8.32;;;;;;;;;;;;;;;;;
2;N099;Упаковочное оборудование (запайщики, стрейч-машины);8.22;;;;;;;;;;;;;;;;;
3;N077;Оборудование для КФХ (доильные, кормораздача);8.16;;;;;;;;;;;;;;;;;
4;N055;Мебель для HoReCa;8.15;;;;;;;;;;;;;;;;;
5;N070;Навесное оборудование для спецтехники;8.12;;;;;;;;;;;;;;;;;
6;N089;Оборудование для сублимации и печати на текстиле;8.02;;;;;;;;;;;;;;;;;
7;N097;Складская техника (рохли, штабелёры);8.02;;;;;;;;;;;;;;;;;
8;N087;Оборудование для единоборств (татами, мешки, ринги);8.0;;;;;;;;;;;;;;;;;
9;N059;Мягкая модульная мебель под заказ;7.96;;;;;;;;;;;;;;;;;
10;N057;Складские стеллажи и мезонины;7.95;;;;;;;;;;;;;;;;;
11;N050;Промышленное и уличное освещение;7.86;;;;;;;;;;;;;;;;;
12;N094;Торговые павильоны и киоски;7.86;;;;;;;;;;;;;;;;;
13;N053;Механизмы трансформации и каркасы мягкой мебели;7.82;;;;;;;;;;;;;;;;;
14;N023;Скважинное оборудование (насосы, кессоны, оголовки);7.81;;;;;;;;;;;;;;;;;
15;N069;Товары для коммерческого транспорта;7.76;;;;;;;;;;;;;;;;;
16;N011;Швейное оборудование промышленное;7.67;;;;;;;;;;;;;;;;;
17;N016;Генераторы и электростанции;7.67;;;;;;;;;;;;;;;;;
18;N021;Насосное оборудование и гидроаккумуляторы;7.66;;;;;;;;;;;;;;;;;
19;N081;Товары для содержания лошадей;7.66;;;;;;;;;;;;;;;;;
20;N001;Торговое оборудование (витрины, стеллажи);7.62;;;;;;;;;;;;;;;;;
21;N052;Мебельные комплектующие: столешницы, фасады;7.62;;;;;;;;;;;;;;;;;
22;N067;Прицепы легковые;7.58;;;;;;;;;;;;;;;;;
23;N012;Деревообрабатывающие станки;7.57;;;;;;;;;;;;;;;;;
24;N006;Оборудование для автосервиса (подъёмники, стенды);7.52;;;;;;;;;;;;;;;;;
25;N075;Оборудование для пчеловодства;7.42;;;;;;;;;;;;;;;;;
26;N015;Компрессоры и пневмооборудование;7.36;;;;;;;;;;;;;;;;;
27;N039;Лестницы под заказ;7.36;;;;;;;;;;;;;;;;;
28;N037;Ворота и автоматика;7.33;;;;;;;;;;;;;;;;;
29;N024;Септики и станции биоочистки;7.31;;;;;;;;;;;;;;;;;
30;N040;Хозблоки, бытовки, модульные строения;7.31;;;;;;;;;;;;;;;;;
31;N002;Холодильное оборудование для магазинов и HoReCa;7.26;;;;;;;;;;;;;;;;;
32;N060;Кухни на заказ (агентская модель);7.26;;;;;;;;;;;;;;;;;
33;N030;Вентиляция и рекуператоры;7.12;;;;;;;;;;;;;;;;;
34;N028;Печи и камины для дачи и дома;7.02;;;;;;;;;;;;;;;;;
35;N064;Фаркопы, багажники, защита картера;7.02;;;;;;;;;;;;;;;;;
36;N088;Лазерные станки и ЧПУ для мастерских;7.0;;;;;;;;;;;;;;;;;
37;N017;Стабилизаторы и ИБП для дома и дачи;6.97;;;;;;;;;;;;;;;;;
38;N004;Оборудование для пекарен;6.91;;;;;;;;;;;;;;;;;
39;N027;Дымоходы и сэндвич-трубы;6.87;;;;;;;;;;;;;;;;;
40;N038;Металлоконструкции под заказ (навесы, каркасы);6.86;;;;;;;;;;;;;;;;;
41;N029;Банное оборудование (печи, каменки, купели);6.72;;;;;;;;;;;;;;;;;
42;N007;Оборудование для шиномонтажа;6.62;;;;;;;;;;;;;;;;;
43;N083;Лодки и катера;6.58;;;;;;;;;;;;;;;;;
44;N079;Вольеры и будки для крупных собак;6.51;;;;;;;;;;;;;;;;;
45;N084;Лодочные моторы и запчасти;6.5;;;;;;;;;;;;;;;;;
46;N054;Мебель по индивидуальным размерам (шкафы);6.41;;;;;;;;;;;;;;;;;
47;N036;Заборы и ограждения;6.38;;;;;;;;;;;;;;;;;
48;N014;Сварочное оборудование профессиональное;5.66;;;;;;;;;;;;;;;;;
49;N041;Теплицы и поликарбонат;5.43;;;;;;;;;;;;;;;;;
50;N071;Садовая техника (мотоблоки, культиваторы);5.22;;;;;;;;;;;;;;;;;
