rank;id;nisha;domain;test_no_stock;mp_shield;margin_rub;check;weak_field;demand_stab;repeat;speed;logistics;supplier_ru;RAW_SCORE;yellow_flags;penalty;FINAL_SCORE;kommentariy
1;N022;Водоочистка и фильтрация для частного дома;ENGINEERING;9;10;8;8;7;7;10;7;7;8;8.32;;0;8.32;Подбор по анализу воды МП не умеет, картриджи дают регулярный повтор
2;N099;Упаковочное оборудование (запайщики, стрейч-машины);PRODUCTION;9;9;8;6;10;7;10;7;7;7;8.22;;0;8.22;Расходка даёт повтор, поле слабое, растёт с e-commerce
3;N077;Оборудование для КФХ (доильные, кормораздача);GARDEN_FARM;9;10;8;8;10;7;7;5;5;7;8.16;;0;8.16;Слабое поле, высокий чек, узкий рынок
4;N055;Мебель для HoReCa;FURNITURE;10;10;10;10;7;5;5;3;5;8;8.15;;0;8.15;B2B-партии под заказ, габарит
5;N070;Навесное оборудование для спецтехники;AUTO;9;10;10;10;7;7;5;5;3;7;8.12;;0;8.12;Очень высокий чек, узкий но платящий B2B
6;N089;Оборудование для сублимации и печати на текстиле;PRODUCTION;9;9;8;6;10;5;10;7;7;7;8.02;;0;8.02;Расходка даёт мощный повтор, поле слабое
7;N097;Складская техника (рохли, штабелёры);LOGISTICS_PACK;9;9;8;8;7;10;5;7;5;8;8.02;;0;8.02;Поломка рохли останавливает склад — вынужденный спрос
8;N087;Оборудование для единоборств (татами, мешки, ринги);SPORT_HOBBY;10;10;8;8;10;5;5;5;5;7;8.0;;0;8.0;Слабое поле, B2B-комплекты под зал, под заказ
9;N059;Мягкая модульная мебель под заказ;FURNITURE;10;10;10;10;5;5;3;5;5;9;7.96;;0;7.96;Прямая компетенция и работа под заказ, но поле плотное
10;N057;Складские стеллажи и мезонины;LOGISTICS_PACK;10;10;10;10;7;7;5;5;5;8;8.45;YF-3;0.5;7.95;Расчёт под помещение, B2B со счётом
11;N050;Промышленное и уличное освещение;ENERGY;9;9;8;8;7;7;7;5;7;8;7.86;;0;7.86;Расчёт освещённости + B2B-партии
12;N094;Торговые павильоны и киоски;TRADE_EQUIP;10;10;10;10;7;5;3;3;3;7;7.86;;0;7.86;Очень высокий чек, чистый под заказ, МП невозможен
13;N053;Механизмы трансформации и каркасы мягкой мебели;FURNITURE;9;10;6;6;7;7;10;7;7;8;7.82;;0;7.82;B2B-повтор, прямая компетенция предпринимателя
14;N023;Скважинное оборудование (насосы, кессоны, оголовки);ENGINEERING;9;10;8;8;7;10;7;7;5;8;8.31;YF-2;0.5;7.81;Комплект под глубину скважины — чистая консультационная продажа
15;N069;Товары для коммерческого транспорта;AUTO;9;9;6;6;7;10;7;7;7;8;7.76;;0;7.76;Простой транспорта = вынужденная срочная покупка
16;N011;Швейное оборудование промышленное;B2B_EQUIP;9;9;8;8;7;7;5;5;7;7;7.67;;0;7.67;Подбор по типу строчки — консультация решает
17;N016;Генераторы и электростанции;ENERGY;9;7;8;8;5;10;5;10;5;8;7.67;;0;7.67;Аварийный спрос: решение в день обращения
18;N021;Насосное оборудование и гидроаккумуляторы;ENGINEERING;9;7;6;6;7;10;7;10;7;9;7.66;;0;7.66;Поломка насоса = покупка сегодня. Сильный вынужденный спрос
19;N081;Товары для содержания лошадей;PETS;9;9;6;6;10;7;7;7;7;6;7.66;;0;7.66;Крайне слабое поле, платёжеспособный сегмент, но узкая география
