rank;nisha_id;tovar;pokupatel;chek_ocenka;marzha_ocenka_rub;chastota;sezonnost;konkurenciya;avito_potencial;wb_ozon;logistika;pod_zakaz;komissiya;risk;b_bez_zakupki;b_zashchita_ot_MP;b_marzha;b_chek;b_skorost;SCORE
1;N087;Татами комплект под площадь зала;Зал единоборств;60-250 тыс;12-55 тыс;раз в 5-7 лет;август-сентябрь;низкая;очень высокий;частично;ТК крупногабарит;да;да;сезон открытий;10;10;10;10;5;9.25
2;N059;Модульный угловой диван нестандартной конфигурации;Нестандартная планировка;80-250 тыс;18-55 тыс;раз в 7-10 лет;круглый год;средняя;очень высокий;невозможно;ТК крупногабарит;да;да;замер, проходимость в дверь;10;10;10;10;5;9.25
3;N022;Комплекс водоподготовки под коттедж по анализу;Коттедж 150+ м2;100-150 тыс;20-40 тыс;раз в 10 лет;круглый год;низкая;очень высокий;отсутствует;ТК + монтаж;да;да;высокая цена ошибки, нужен монтаж;9;10;10;10;5;9.0
4;N055;Комплект летней веранды;Кафе с террасой;50-200 тыс;10-40 тыс;раз в 3-5 лет;апрель-июнь;средняя;высокий;частично;ТК;да;да;жёсткое сезонное окно;10;9;10;10;5;9.0
5;N089;Обучающий комплект: оборудование + видеокурс + поддержка 30 дней;Новичок без опыта;100-180 тыс;25-50 тыс;разово;осень-зима;почти нет;очень высокий;невозможно;ТК + услуга;да;да;обязательства по поддержке;9;10;10;10;5;9.0
6;N099;Стрейч-машина паллетная;Склад, оптовик;80-200 тыс;15-45 тыс;раз в 7 лет;круглый год;низкая;очень высокий;отсутствует;ТК крупногабарит;да;да;габарит;9;10;10;10;5;9.0
7;N077;Кормораздатчик малый;Ферма 20-100 голов;80-300 тыс;15-60 тыс;раз в 7-10 лет;круглый год;низкая;очень высокий;отсутствует;ТК крупногабарит;да;да;география, доставка в район;9;10;10;10;5;9.0
8;N097;Штабелёр ручной / полуэлектрический;Склад, производство;90-250 тыс;18-55 тыс;раз в 7 лет;круглый год;низкая;очень высокий;слабо;ТК крупногабарит;да;да;вес, сервис;9;10;10;10;5;9.0
9;N070;Ковш на фронтальный погрузчик по модели;Владелец техники;60-200 тыс;12-45 тыс;раз в 3-5 лет;круглый год;низкая;очень высокий;отсутствует;ТК тяжёлый;да;да;ошибка крепления дорога;9;10;10;10;5;9.0
10;N070;Отвал коммунальный на трактор;ЖКХ, подрядчик;80-250 тыс;15-55 тыс;раз в 5 лет;осень;низкая;очень высокий;отсутствует;ТК тяжёлый;да;да;сезонный пик перед зимой;9;10;10;10;5;9.0
11;N070;Щётка коммунальная навесная;ЖКХ, УК;100-300 тыс;20-65 тыс;раз в 5 лет;весна, осень;низкая;очень высокий;отсутствует;ТК тяжёлый;да;да;сезон, узкий круг;9;10;10;10;5;9.0
12;N055;Диваны-модули под планировку зала;Кафе, бар, лофт;60-250 тыс;12-50 тыс;раз в 5-7 лет;низкая;низкая;очень высокий;невозможно на МП;ТК крупногабарит;да;да;замер и сроки;10;10;10;10;3;8.95
13;N055;Перетяжка и обновление мебели заведения;Действующее кафе;30-150 тыс;10-40 тыс;раз в 3-4 года;низкая;низкая;очень высокий;невозможно;услуга + вывоз;да;да;логистика вывоза;10;10;10;8;5;8.95
14;N055;Мебель для отеля: кровати, тумбы, шкафы партией;Мини-отель, хостел;150-500 тыс;30-100 тыс;раз в 7 лет;низкая;низкая;очень высокий;невозможно;ТК;да;да;очень длинный цикл;10;10;10;10;3;8.95
