id;title;publisher;url;type;data_period;accessed_at;reliability;used_in;notes
S1;Оборот розничной торговли РФ, оперативные данные;Росстат / New Retail;https://new-retail.ru/novosti/retail/rosstat_zafiksiroval_rost_oborota_roznichnoy_torgovli_v_iyune/;official;1П2026;2026-08-31;medium;01_MACRO_MARKET;Оборот розницы 1П2026 32,3 трлн руб, +5,4% г/г. Первоисточник Росстат не открывался напрямую - сверить по ссылке
S2;Оборот розничной торговли, июнь 2026;Росстат / New Retail;https://new-retail.ru/novosti/retail/rosstat_zafiksiroval_rost_oborota_roznichnoy_torgovli_v_iyune/;official;июнь 2026;2026-08-31;medium;01_MACRO_MARKET;Июнь 2026: 5,77 трлн руб, +7,3% г/г. Доля рынков и ярмарок снизилась до 2,8%
S3;Объем интернет-торговли в России за первое полугодие;Коммерсантъ;https://www.kommersant.ru/doc/8876879;media;1П2026;2026-08-31;medium;01_MACRO_MARKET;7,2 трлн руб за 1П2026. Домен недоступен из среды - сверить вручную
S4;Ключевая ставка и прогноз по инфляции;Банк России;https://www.cbr.ru/press/keypr/;official;июль 2026;2026-08-31;high;01_MACRO_MARKET;Ставка 14,00% с 24.07.2026. Прогноз инфляции 6,0-7,0% на 2026, средняя ставка 14,5-14,6%
S5;Потребительское поведение в 2026: россияне переходят на экономию и сбережения;Коммерсантъ;https://www.kommersant.ru/doc/8337650;media;2026;2026-08-31;medium;01_MACRO_MARKET;Отказ от дорогих покупок, акцент на сбережения
S6;Как изменилось потребительское поведение россиян в 2026;ЮKassa / Retail.ru;https://www.retail.ru/news/yukassa-kak-izmenilos-potrebitelskoe-povedenie-rossiyan-v-2026-m-godu-29-iyulya-2026-280430/;industry;1П2026;2026-08-31;medium;01_MACRO_MARKET;Средний чек растет за счет числа мелких покупок, а не крупных трат
S7;ЦБ указал на изменение потребительского поведения россиян;Банк России / Lenta.ru;https://lenta.ru/news/2026/08/03/tsb-ukazal-na-izmenenie-potrebitelskogo-povedeniya-rossiyan/;media;2026;2026-08-31;medium;01_MACRO_MARKET;Сберегательная модель на фоне замедления роста доходов и дорогих кредитов
S8;Ozon и Wildberries: рост комиссий и нагрузки на продавцов;CNews;https://www.cnews.ru/news/top/2026-08-26_ozon_i_wildberries_obdirayut_prodavtsov;media;2кв2026;2026-08-31;low;01_MACRO_MARKET,05_SCORING;Ozon FBO 43%->55%, WB 32%->42%; 2кв2026 комиссии+логистика Ozon 47,8% от базовой стоимости (+29,2 п.п. г/г); отток активных селлеров 24-25%; рентабельность 15%->5% (Market Papa). КЛЮЧЕВАЯ ЦИФРА ПРОЕКТА - обязательна перепроверка по первоисточнику
S9;Интернет-торговля в России 2026;Data Insight;https://datainsight.ru/DI_eCommerce_2026;industry;2025-2026;2026-08-31;medium;01_MACRO_MARKET;2025: 13,4 трлн руб (+19%). Прогноз 2026: свыше 15 трлн (+15%), 10 млрд заказов (+20%)
S10;Маркировка Честный ЗНАК в 2026: новые группы и этапы;ГАРАНТ.РУ / МТС Медиа;https://www.garant.ru/article/2131746/;official;2026;2026-08-31;medium;00_PROJECT_ARCHITECTURE,08_RISKS;Проекты постановлений по автозапчастям, средствам гигиены, удобрениям, пиротехнике, э-сигаретам, учебникам. RED FLAG RF-1 для автозапчастей
