id;tovar;nisha;pokupatel;discovery_avito;trust_barrier;deal_mechanics;urgency;mp_alternative;CHANNEL_FIT;avito_podhodit;gde_ishchet;gde_pokupaet;luchshiy_kanal;obosnovanie
T04;Столешница под размер (постформинг / HPL);N052;Частник после ремонта + малый мебельный цех;8;7;9;6;8;7.8;ДА;Локальный поиск исполнителя: Авито, Яндекс, сарафан;Оплата напрямую, физлицо или ИП без НДС;Авито;Изготовление под размер маркетплейс структурно не обслуживает. Чек низкий, риск покупателя мал, решение принимается за один разговор. Самый чистый случай совпадения канала и покупателя в списке
T03;Комплект обезжелезивания для скважины;N022;Владелец частного дома или дачи со скважиной;8;6;9;7;7;7.6;ДА;Авито и Яндекс по симптому: рыжая вода, налёт, запах;Физлицо, карта или наличные, часто вместе с монтажом;Авито;Симптом виден невооружённым глазом, покупатель ищет решение сам. Авито силён в связке товар плюс монтаж. Подбор по анализу воды маркетплейс не делает
T01;Комплект старт печати на футболках;N089;Самозанятый или микробизнес на старте;8;7;9;5;6;7.5;ДА;Широкий поиск без отраслевых связей: Авито, Яндекс, соцсети;Физлицо или самозанятый, карта;Авито;Покупатель сам новичок и не знает отраслевых каналов. Отдельные термопрессы на маркетплейсе есть, но собранный комплект с настройкой и поддержкой там продать нельзя
T05;Рохля гидравлическая 2-2,5 т;N097;Малый склад, ПВЗ, оптовая база без снабженца;7;6;6;9;4;6.5;ДА;Срочный поиск: Яндекс, Авито, звонок знакомому поставщику;Чаще нужен счёт на ООО или ИП;Авито;Максимальная срочность в списке: сломалась рохля - склад встал. Но рохли массово представлены на Озоне и WB, и это главный ограничитель: конкуренция идёт по цене и сроку
T07;Настольный запайщик пакетов / вакуумный упаковщик;N099;Пищевое микропроизводство, фасовщик, самозанятый;6;7;8;6;3;6.3;ДА;Яндекс и маркетплейсы, Авито вторично;Физлицо, самозанятый или ИП;Авито;Настольные запайщики массово на маркетплейсах по низкой цене - это худший показатель защищённости в списке. Ниша N099 сильна промышленным сегментом, а не настольным
T09;Доильный аппарат для малого хозяйства (1-3 головы);N077;ЛПХ и малое КФХ, чаще частное подворье;6;5;8;5;5;6.0;ДА;Яндекс, профильные интернет-магазины, Авито, сарафан в районе;Физлицо или глава КФХ, карта или счёт;Авито;Уточнение против ниши: N077 получила Channel Fit 5,60 на оборудовании для КФХ с грантами. Аппарат на 1-3 головы - товар для ЛПХ, то есть для частника, а не для предприятия. Это другой покупатель и другой канал, поэтому оценка выше нишевой
T06;Штабелёр ручной гидравлический 1-1,5 т;N097;Склад с плановой закупкой техники;6;5;6;6;6;5.8;НЕТ;Яндекс по коммерческому запросу, дилерские сайты;Счёт на юрлицо, часто с НДС;Яндекс Директ на свой каталог;Чек в 3-5 раз выше рохли, покупка плановая, срочность исчезает. Нужны гарантия и сервис, которых у продавца без истории нет. Коммерческий запрос в Яндексе конвертит лучше площадки
T08;Комплект стеллажей для ПВЗ;E18;Открывающийся пункт выдачи заказов;5;6;7;8;2;5.6;НЕТ;Инструкция маркетплейса, чаты владельцев ПВЗ, поставщики из списка площадки;ИП, счёт, часто вместе с монтажом;Telegram-сообщества владельцев ПВЗ + партнёрская модель;Опровергнуто собственное допущение: Ozon держит категорию Мебель для ПВЗ, Wildberries сам присылает часть брендированного оборудования, а б/у стеллажи допускаются. Покупатель идёт по инструкции площадки, а не ищет поставщика свободно
T02;ДТФ-комплект: принтер + шейкер;N089;Действующее производство печати;5;4;5;4;8;5.0;НЕТ;Отраслевые дилеры, профильные сообщества, выставки;Юрлицо, счёт, часто лизинг или рассрочка;Яндекс Директ + отраслевые сообщества печатников;Тот же клиент, что у T01, но на другой стадии: у действующего производства уже есть дилер, сервис и история закупок. Чек 150-400 тыс требует гарантии, которую новый продавец не даёт
T10;Механизм трансформации дивана (еврокнижка, клик-кляк);N053;Фабрика мягкой мебели, закупка комплектующих;3;3;3;3;8;3.5;НЕТ;Отраслевые каталоги СОТКА и forniture.ru, выставки;Договор поставки, партия, отсрочка платежа, НДС;Отраслевые каталоги + прямой outreach в фабрики;Худший Channel Fit списка и это подтверждение вывода этапа 1, а не новость. Промышленный покупатель со снабжением не ищет поставщика комплектующих на площадке частных объявлений
