id;KORZINA;CHANNEL_FIT;1_tovar;2_nisha;3_pokupatel;4_gde_ishchet;5_gde_pokupaet;6_avito_podhodit;7_cena_rynka;8_cena_postavshchika;9_landed_cost;10_valovaya_marzha;11_kapital;12_MOQ;13_skorost_zapuska;14_glavnyy_risk;15_luchshiy_kanal;16_supplier_shortlist
T04;AVITO TEST READY;7.8;Столешница под размер (постформинг / HPL);N052 мебельные комплектующие;Частник после ремонта + малый мебельный цех;Локальный поиск исполнителя: Авито, Яндекс, сарафан;Оплата напрямую, физлицо или ИП без НДС;ДА;5200;1872;2340;2860 руб / 55.0%;0 руб;1 плита;3 дня;Маржа 2 860 руб за сделку: модель требует потока 30-40 заказов в месяц;Авито;СКМ Мебель | ДСП-Комплект | MR5 | Lamplit Group | Pan-Raspil | Локальные цеха распила
T03;AVITO TEST READY;7.6;Комплект обезжелезивания для скважины;N022 водоочистка;Владелец частного дома или дачи со скважиной;Авито и Яндекс по симптому: рыжая вода, налёт, запах;Физлицо, карта или наличные, часто вместе с монтажом;ДА;79000;38710;57820;21180 руб / 26.8%;0 руб;1 шт;10 дней;Монтаж - обязательная часть чека. Без бригады оффер не собирается;Авито;Экодар | Diasel | Перцев (pertsev.ru) | Water.ru | Завод Пензэнергомаш (ПЭМ) | Альт Групп | ВодоОчистка24 | Аквалидер24 | Ламабур | Domiato | Prom-water
T01;AVITO TEST READY;7.5;Комплект старт печати на футболках;N089 сублимация и печать;Самозанятый или микробизнес на старте;Широкий поиск без отраслевых связей: Авито, Яндекс, соцсети;Физлицо или самозанятый, карта;ДА;85000;63580;76130;8870 руб / 10.4%;21080 руб;1 шт;7 дней;Маржа 10,4% - тоньше всех прошедших. Держится на премии за обучение, а она не проверена;Авито;Сублимарт | Sublimagia | Gifttec | RDMKit | Технопринт | INKSYSTEM | Masterton / РуссКом | Vegasd | MySub | ForOffice | Forsign
T06;NON-AVITO OPPORTUNITY;5.8;Штабелёр ручной гидравлический 1-1,5 т;N097 складская техника;Склад с плановой закупкой техники;Яндекс по коммерческому запросу, дилерские сайты;Счёт на юрлицо, часто с НДС;НЕТ;62000;46500;50220;11780 руб / 19.0%;15500 руб;1 шт;10 дней;Нужны гарантия и сервис, которых у продавца без истории нет;Яндекс Директ на свой каталог;OXLIFT | VIOMAX | ZavSklad / КвадроПресс | Грузовая механика | МД-Прогресс | Ангара Групп | КИИТ | ГТС-СПб | Tisel Technics | Shtabeler.ru | ProductCenter: каталог штабелёров | ProductCenter: складское оборудование
T08;NON-AVITO OPPORTUNITY;5.6;Комплект стеллажей для ПВЗ;E18 оборудование для ПВЗ;Открывающийся пункт выдачи заказов;Инструкция маркетплейса, чаты владельцев ПВЗ, поставщики из списка площадки;ИП, счёт, часто вместе с монтажом;НЕТ;110000;70125;85725;24275 руб / 22.1%;15125 руб;комплект;14 дней;Ozon держит категорию Мебель для ПВЗ, б/у стеллажи допускаются площадками;Telegram-сообщества владельцев ПВЗ + партнёрская модель;Завод Экомет | Steller | Maksteel | Pro Стеллаж | Опытный завод Микрон | Горторгснаб / ГТС | Стелком | Стел-Тех | ТехСторидж | Солос | Невилон | ProductCenter: каталог стеллажей
T05;ECONOMICALLY WEAK;6.5;Рохля гидравлическая 2-2,5 т;N097 складская техника;Малый склад, ПВЗ, оптовая база без снабженца;Срочный поиск: Яндекс, Авито, звонок знакомому поставщику;Чаще нужен счёт на ООО или ИП;ДА;13000;9490;10660;2340 руб / 18.0%;37960 руб;1 шт;5 дней;Оффер держится на срочности, срочность требует остатка. Под заказ ниша умирает;Авито;МД-Прогресс (12 279 руб с НДС) | Горторгснаб / ГТС (13 275 руб) | Рывок (рохли 2,5 т, скидки оптовикам) | Корвет-М (тележки 2500 кг) | Tisel Technics (по цене дилера, доставка по РФ)
T09;ECONOMICALLY WEAK;6.0;Доильный аппарат для малого хозяйства (1-3 головы);N077 оборудование для КФХ;ЛПХ и малое КФХ, чаще частное подворье;Яндекс, профильные интернет-магазины, Авито, сарафан в районе;Физлицо или глава КФХ, карта или счёт;ДА;24000;18000;21060;2940 руб / 12.2%;6000 руб;1 шт;7 дней;Маржа 2 940 руб при плотной дилерской сети производителя;Авито;Уралспецмаш (производитель серии Фермер АДЭ) | ShopFermer24 (Фермер от производителя) | Фермер-опт (АДЭ, ЧВМЗ, Красуля) | ИнструментГрад (АДЭ-02, АДЭ-03) | ФермерМ / МирИнкуб (доильные агрегаты)
T02;ECONOMICALLY WEAK;5.0;ДТФ-комплект: принтер + шейкер;N089 сублимация и печать;Действующее производство печати;Отраслевые дилеры, профильные сообщества, выставки;Юрлицо, счёт, часто лизинг или рассрочка;НЕТ;338675;264166;284486;54189 руб / 16.0%;196431 руб;1 шт;21 день;Чек 338 675 руб. Предоплата 50% незнакомому продавцу на такой сумме нереалистична;Яндекс Директ + отраслевые сообщества печатников;Технопринт (AUDLEY XP6002 комплект с шейкер-сушкой) | INXY (DTF-принтеры для текстиля) | Рустехпром / digitalserv (DTF-принтеры Москва) | nakleykanakleyku (UV DTF и ДТФ)
T10;SUPPLIER RISK;3.5;Механизм трансформации дивана (еврокнижка, клик-кляк);N053 механизмы трансформации;Фабрика мягкой мебели, закупка комплектующих;Отраслевые каталоги СОТКА и forniture.ru, выставки;Договор поставки, партия, отсрочка платежа, НДС;НЕТ;нет данных;нет данных;нет данных;нет данных;нет данных;партия 20-50 шт (ОЦЕНКА);14 дней;Закупочные цены не найдены: источник поставки не подтверждён;Отраслевые каталоги + прямой outreach в фабрики;Polaris24 (механизмы трансформации оптом от производителя) | Фурнитура-66 (еврокнижки на металлокаркасе) | Фурнитура-МС (комплект, Москва) | Аметист (механизмы для мягкой мебели) | БелМебельШоп (белорусский производитель)
T07;KILL;6.3;Настольный запайщик пакетов / вакуумный упаковщик;N099 упаковочное оборудование;Пищевое микропроизводство, фасовщик, самозанятый;Яндекс и маркетплейсы, Авито вторично;Физлицо, самозанятый или ИП;ДА;4200;2940;3718;482 руб / 11.5%;840 руб;1 шт;3 дня;Маржа 482 руб. Настольные запайщики массово на маркетплейсах;Авито;Hualian Machinery / hmru (ручные запайщики от производителя) | ВсеИнструменты.ру (вакууматоры от 1 925 руб) | Волтэк Групп (вакуумные упаковщики) | Яндекс.Маркет (запайщики и вакууматоры)
