id;tovar;CHANNEL_FIT;biznes_model;cena_prodazhi;tovarnaya_chast;zakupka;dostavka_prodavtsa;kanal_rub;landed_cost;marzha_rub;marzha_proc;ves_kg;gabarit;log_slozhnost;MOQ;skorost_dney;kto_platit_dostavku;postavshchikov;ekonomika;postavshchiki;istochnik_ceny
T02;ДТФ-комплект: принтер + шейкер;5.0;перепродажа под заказ;338675;338675;264166;0;20320;284486;54189;16.0;350;паллета, 200x100x150;9;1 шт;21;покупатель;4;ПРОХОДИТ;Технопринт (AUDLEY XP6002 комплект с шейкер-сушкой) | INXY (DTF-принтеры для текстиля) | Рустехпром / digitalserv (DTF-принтеры Москва) | nakleykanakleyku (UV DTF и ДТФ);S53: готовые комплекты от 338 675 руб, DTF 30 PLUS - 845 000 руб
T08;Комплект стеллажей для ПВЗ;5.6;комплект + монтаж;110000;93500;70125;0;6600;85725;24275;22.1;400;6-10 секций, паллета;8;комплект;14;покупатель;5;ПРОХОДИТ;Завод Экомет (стеллажи для ПВЗ от производителя) | Горторгснаб (от производителя) | Стелком (стеллажи для ПВЗ, Москва) | Стел-Тех (стеллажи для ПВЗ) | ТехСторидж (стеллажи для ПВЗ, Москва и СПб);S49+S50: стеллаж 9 759-16 420 руб, комплект 20-30 кв.м под ключ 80-180 тыс
T03;Комплект обезжелезивания для скважины;7.6;оборудование + монтаж;79000;55300;38710;0;7110;57820;21180;26.8;120;баллон 1044 + блок управления, 2 места;6;1 шт;10;покупатель;5;ПРОХОДИТ;Экодар (станции обезжелезивания с монтажом) | ВодоОчистка24 (установки обезжелезивания) | Аквалидер24 (фильтры с установкой) | Ламабур (обезжелезивание из скважины) | Domiato (умягчение и аэрационное обезжелезивание);S52: оборудование 55 000 + монтаж и монтажный комплект 24 000 = 79 000 под ключ
T06;Штабелёр ручной гидравлический 1-1,5 т;5.8;перепродажа под заказ;62000;62000;46500;0;3720;50220;11780;19.0;210;1700x800x2000;9;1 шт;10;покупатель;5;ПРОХОДИТ;Грузовая механика (SYC SIBLINE 1т-1,6м - 62 000 руб) | МД-Прогресс (от 39 100 руб с НДС) | Ангара Групп (Tisel HSW 1016 от 103 000 руб) | КИИТ (штабелёры 1 т, дилерская сеть) | ГТС-СПб (штабелёры);S51: 39 100 - 103 000 руб в зависимости от высоты подъёма и бренда
T01;Комплект старт печати на футболках;7.5;комплект + настройка и обучение;85000;74800;63580;900;7650;76130;8870;10.4;45;2 места, 60x60x40;4;1 шт;7;продавец;5;ГРАНИЦА;RDMKit (термопресс STANDART 38x38 - 46 309 руб) | Технопринт (термопрессы и ДТФ) | Sublimart (плоские термопрессы) | INKSYSTEM (готовые комплекты пресс + Epson + чернила) | Masterton / РуссКом (термопрессы);S53: термопресс 38x38 36 575-46 309 руб, комплекты пресс + принтер + расходка
T09;Доильный аппарат для малого хозяйства (1-3 головы);6.0;перепродажа под заказ;24000;24000;18000;900;2160;21060;2940;12.2;45;600x500x900;5;1 шт;7;продавец;5;НЕ ПРОХОДИТ;Уралспецмаш (производитель серии Фермер АДЭ) | ShopFermer24 (Фермер от производителя) | Фермер-опт (АДЭ, ЧВМЗ, Красуля) | ИнструментГрад (АДЭ-02, АДЭ-03) | ФермерМ / МирИнкуб (доильные агрегаты);S57: АДЭ-02СК 22 950 руб, АДЭ-02С 25 410 руб. Производитель Уралспецмаш
T04;Столешница под размер (постформинг / HPL);7.8;услуга распила + материал;5200;2340;1872;0;468;2340;2860;55.0;35;3050x600x38, длинномер;7;1 плита;3;покупатель;4;НЕ ПРОХОДИТ;СКМ Мебель (прайс на услуги распила) | ДСП-Комплект (распил ДСП/ЛДСП по размерам) | MR5 (распил ЛДСП, СПб) | Lamplit Group (распил ЛДСП, фанеры, МДФ, столешниц);S55: постформинг от 600 руб за погонный метр, распил - отдельная платная услуга
T05;Рохля гидравлическая 2-2,5 т;6.5;перепродажа под заказ;13000;13000;9490;0;1170;10660;2340;18.0;75;1550x550x1200;8;1 шт;5;покупатель;5;НЕ ПРОХОДИТ;МД-Прогресс (12 279 руб с НДС) | Горторгснаб / ГТС (13 275 руб) | Рывок (рохли 2,5 т, скидки оптовикам) | Корвет-М (тележки 2500 кг) | Tisel Technics (по цене дилера, доставка по РФ);S51: специализированные поставщики 12 279-13 275 руб, розница магазинов до 33 384 руб
T07;Настольный запайщик пакетов / вакуумный упаковщик;6.3;перепродажа под заказ;4200;4200;2940;400;378;3718;482;11.5;6;40x20x20;2;1 шт;3;продавец;4;НЕ ПРОХОДИТ;Hualian Machinery / hmru (ручные запайщики от производителя) | ВсеИнструменты.ру (вакууматоры от 1 925 руб) | Волтэк Групп (вакуумные упаковщики) | Яндекс.Маркет (запайщики и вакууматоры);S56: импульсный PFS-300 от 2 472 руб, вакууматоры от 1 925 руб
T10;Механизм трансформации дивана (еврокнижка);3.5;опт под фабрику;;;;;;;;;12;1200x400x150, отгрузка партией;6;партия 20-50 шт (ОЦЕНКА);14;покупатель;5;ДАННЫХ НЕДОСТАТОЧНО;Polaris24 (механизмы трансформации оптом от производителя) | Фурнитура-66 (еврокнижки на металлокаркасе) | Фурнитура-МС (комплект, Москва) | Аметист (механизмы для мягкой мебели) | БелМебельШоп (белорусский производитель);ДАННЫХ НЕДОСТАТОЧНО: цены за штуку в рублях в открытой выдаче не найдены
