tovar_id;postavshchik;tip;geografiya;chto_izvestno;dilerstvo_zayavleno;MOQ;zakupochnaya_cena;obraztsy;testovaya_partiya;OEM_ODM;chto_sprosit
T03;Экодар;дистрибьютор + монтаж;Москва, СПб;Станции обезжелезивания, монтаж под ключ, свой инжиниринг;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T03;Diasel;производитель;Россия;Собственное производство систем очистки воды;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T03;Перцев (pertsev.ru);оптовый производитель;Россия;Заявлен как оптовый производитель оборудования водоподготовки, фильтры, реагенты, комплектующие;опт заявлен;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T03;Water.ru;дистрибьютор;Москва;Отдельная страница «Предложение для дилеров»;ДА, публично;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T03;Завод Пензэнергомаш (ПЭМ);завод;Пенза;Фильтры промышленной водоподготовки разной производительности;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T03;Альт Групп;инжиниринг + поставка;Москва;Промышленная водоподготовка, проектирование и пусконаладка;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T03;ВодоОчистка24;поставщик + монтаж;Москва;Установки обезжелезивания, монтаж;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T03;Аквалидер24;поставщик + монтаж;Москва;Фильтры обезжелезивания с установкой;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T03;Ламабур;бурение + водоочистка;Москва, МО;Обезжелезивание из скважины, смежная услуга бурения;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
T03;Domiato;поставщик + монтаж;Москва;Умягчение и аэрационное обезжелезивание с монтажом;нет данных;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;НЕ ПОДТВЕРЖДЕНО;закупочная цена и от какого объёма | MOQ на первую отгрузку | работаете ли с ИП без склада и под заказ | отсрочка или только предоплата | есть ли образец или демо | сроки отгрузки | кто платит доставку | даёте ли гарантию на конечного клиента | ограничения по региону и цене перепродажи
