id;kategoriya;tovar;pokupatel;cena_rynka_orientir;perekup;no_install;capital;marzha;speed;logistics;on_order;visual;repeat;RAW;PRODUCT_FIT;status;flagi;prichina;zametka
I02;TOOLS;Фрезы по дереву профильные, наборы;Столяр, цех;1500-9000;10;10;9;6;8;10;8;7;8;8.7;8.7;ПРОШЁЛ;;;Расходник, высокий повтор
I03;TOOLS;Пильные диски по ЛДСП и алюминию;Цех, мастерская;800-4000;10;10;10;4;9;10;8;5;9;8.6;8.6;ПРОШЁЛ;;;
P08;PACKAGING;Наклейки и стикеры для маркировки заказов;Интернет-магазин, ПВЗ;500-4000;10;10;10;3;9;10;8;7;10;8.6;8.6;ПРОШЁЛ;;;
Z01;PETS;Груминг-инструмент: ножницы, машинки, насадки;Груминг-салон, заводчик;2000-18000;10;10;9;5;8;10;8;8;8;8.6;8.6;ПРОШЁЛ;;;База измерена: 2800+ салонов, расходка даёт повтор
K07;CRAFT;Инструмент для кожевенного ремесла;Мастер, хоббист;1500-15000;10;10;9;5;8;10;8;9;7;8.6;8.6;ПРОШЁЛ;;;Узкий профильный спрос, МП обслуживает слабо
C12;CONSUM_PRO;Ножи и лезвия промышленные сменные;Производство, мастерская;500-4000;10;10;10;3;9;10;8;4;10;8.45;8.45;ПРОШЁЛ;;;
C15;CONSUM_PRO;Термопрокладки и расходка для термопрессов;Мастерская печати;600-3500;10;10;10;3;9;10;8;4;10;8.45;8.45;ПРОШЁЛ;;;
W09;WAREHOUSE;Ремни стяжные и крепления груза (без строп);Перевозчик, склад;400-3000;10;10;10;3;9;10;8;5;9;8.45;8.45;ПРОШЁЛ;;;
R12;B2B_CONSUM;Расходка для сварочных постов: маски, стёкла, краги;Цех, сварщик;500-5000;10;10;10;3;9;10;8;4;10;8.45;8.45;ПРОШЁЛ;;;
X05;REPLACEMENT;Запчасти для доильных аппаратов: пульсаторы, коллекторы;ЛПХ, малое КФХ;1500-9000;10;9;10;5;8;10;8;4;9;8.45;8.45;ПРОШЁЛ;;;
C01;CONSUM_PRO;Термотрансферные риббоны для принтеров этикеток;Склад, производство, розница;400-2500;10;10;10;3;9;10;8;3;10;8.4;8.4;ПРОШЁЛ;;;Обязательная маркировка Честный знак создаёт вынужденный спрос
C02;CONSUM_PRO;Этикетки самоклеящиеся в рулонах, термо и термотрансфер;Тот же;300-2000;10;10;10;3;9;10;8;3;10;8.4;8.4;ПРОШЁЛ;;;
C05;CONSUM_PRO;Абразивы: круги, ленты, диски для промышленной заточки;Мастерская, производство;800-6000;10;10;9;4;9;10;8;3;10;8.4;8.4;ПРОШЁЛ;;;
S03;SPORT;Инвентарь для единоборств: лапы, перчатки, защита;Клуб, спортсмен;1500-12000;10;10;9;5;8;8;8;9;7;8.4;8.4;ПРОШЁЛ;;;Расходуется и обновляется, клубы закупают партиями
X03;REPLACEMENT;Ремкомплекты для гидравлики: сальники, манжеты;Сервис, склад, спецтехника;500-5000;10;9;10;4;9;10;8;3;10;8.4;8.4;ПРОШЁЛ;;;
I14;TOOLS;Мебельный степлер пневматический и скобы;Обивщик, цех;3000-12000;10;9;9;6;7;9;8;6;9;8.35;8.35;ПРОШЁЛ;;;
X04;REPLACEMENT;Ножи и запчасти для кормораздатчиков и измельчителей;КФХ, ЛПХ;1000-9000;10;9;10;5;8;9;8;4;9;8.35;8.35;ПРОШЁЛ;;;
X11;REPLACEMENT;Ножи и запчасти для промышленных мясорубок и слайсеров;Общепит, мясопереработка;1500-12000;10;9;9;5;8;10;8;4;10;8.35;8.35;ПРОШЁЛ;;;
C10;CONSUM_PRO;Сосковая резина и расходка для доильных аппаратов;ЛПХ, малое КФХ;500-3000;10;10;10;3;8;10;8;3;10;8.3;8.3;ПРОШЁЛ;;;Расходник к уже проданной технике
C13;CONSUM_PRO;Смазки и техжидкости специализированные (не автомобильные);Производство, сервис;800-5000;10;10;10;3;9;9;8;3;10;8.3;8.3;ПРОШЁЛ;;;
W03;WAREHOUSE;Ремонтные комплекты для рохлей: ролики, сальники, вилки;Склад, сервис складской техники;800-6000;10;9;10;4;9;9;8;4;9;8.3;8.3;ПРОШЁЛ;;;Replacement parts к уже стоящей технике, вынужденный спрос
R01;B2B_CONSUM;Мешки для промышленных пылесосов и стружкоотсосов;Цех, клининг;500-4000;10;10;10;3;9;9;8;3;10;8.3;8.3;ПРОШЁЛ;;;
P09;PACKAGING;Подарочная упаковка и коробки премиум;Флорист, кондитер, магазин подарков;1000-8000;10;10;9;5;7;7;7;10;9;8.3;8.3;ПРОШЁЛ;;;Высокий визуал и наценка
K05;CRAFT;Оборудование для валяния, ткачества, вышивки;Хоббист, мастер;1500-15000;10;9;9;5;8;9;8;9;6;8.3;8.3;ПРОШЁЛ;;;
X08;REPLACEMENT;Запчасти для термопрессов: тефлон, нагреватели, пружины;Мастерская печати;600-6000;10;9;10;4;8;10;8;4;9;8.3;8.3;ПРОШЁЛ;;;
F02;FITTINGS;Крестовины и ролики для офисных кресел;Тот же;500-2500;10;8;10;4;9;10;8;6;7;8.25;8.25;ПРОШЁЛ;;;
I09;TOOLS;Инструмент для работы с кромкой (триммеры, цикли);Цех;1000-6000;10;9;9;5;8;10;8;6;6;8.25;8.25;ПРОШЁЛ;;;
C03;CONSUM_PRO;Сублимационные чернила и бумага;Мастерская печати;1500-8000;10;10;9;4;8;9;8;4;10;8.25;8.25;ПРОШЁЛ;;;
