spisok;mesto;id;kategoriya;tovar;PRODUCT_FIT;marzha_ball
chistyy_PF;1;I02;TOOLS;Фрезы по дереву профильные, наборы;8.7;6
chistyy_PF;2;I03;TOOLS;Пильные диски по ЛДСП и алюминию;8.6;4
chistyy_PF;3;P08;PACKAGING;Наклейки и стикеры для маркировки заказов;8.6;3
chistyy_PF;4;Z01;PETS;Груминг-инструмент: ножницы, машинки, насадки;8.6;5
chistyy_PF;5;K07;CRAFT;Инструмент для кожевенного ремесла;8.6;5
chistyy_PF;6;C12;CONSUM_PRO;Ножи и лезвия промышленные сменные;8.45;3
chistyy_PF;7;C15;CONSUM_PRO;Термопрокладки и расходка для термопрессов;8.45;3
chistyy_PF;8;W09;WAREHOUSE;Ремни стяжные и крепления груза (без строп);8.45;3
chistyy_PF;9;R12;B2B_CONSUM;Расходка для сварочных постов: маски, стёкла, краги;8.45;3
chistyy_PF;10;X05;REPLACEMENT;Запчасти для доильных аппаратов: пульсаторы, коллекторы;8.45;5
rabochiy;1;I02;TOOLS;Фрезы по дереву профильные, наборы;8.7;6
rabochiy;2;I12;TOOLS;Клепальники и оснастка для заклёпок;8.2;6
rabochiy;3;Z01;PETS;Груминг-инструмент: ножницы, машинки, насадки;8.6;5
rabochiy;4;K07;CRAFT;Инструмент для кожевенного ремесла;8.6;5
rabochiy;5;X05;REPLACEMENT;Запчасти для доильных аппаратов: пульсаторы, коллекторы;8.45;5
rabochiy;6;S03;SPORT;Инвентарь для единоборств: лапы, перчатки, защита;8.4;5
rabochiy;7;X11;REPLACEMENT;Ножи и запчасти для промышленных мясорубок и слайсеров;8.35;5
rabochiy;8;P09;PACKAGING;Подарочная упаковка и коробки премиум;8.3;5
rabochiy;9;K05;CRAFT;Оборудование для валяния, ткачества, вышивки;8.3;5
rabochiy;10;C05;CONSUM_PRO;Абразивы: круги, ленты, диски для промышленной заточки;8.4;4
